S,t
1.9000000000000004,10211.0
1.7500000000000002,10457.0
1.7500000000000002,10072.0
1.7000000000000002,10078.0
1.55,14977.0
1.8000000000000003,10830.0
1.4,17174.0
1.9500000000000004,11299.0
1.5,13538.0
1.7500000000000002,10407.0
1.5,12434.0
1.6,10216.0
1.7000000000000002,12239.0
1.8000000000000003,10352.0
1.7000000000000002,10834.0
1.6,15924.0
1.8500000000000003,10137.0
1.7500000000000002,10924.0
1.8500000000000003,12089.0
1.45,10350.0
2.0000000000000004,10188.0
1.45,12865.0
1.45,10854.0
1.45,11092.0
1.4,15694.0
1.9000000000000004,10182.0
1.9500000000000004,13200.0
2.0000000000000004,10287.0
1.8500000000000003,10882.0
1.5,11359.0
1.9500000000000004,10552.0
1.55,10843.0
1.8500000000000003,12076.0
1.6,10355.0
1.6500000000000001,10856.0
2.0000000000000004,11276.0
1.45,11699.0
1.7000000000000002,10711.0
1.8500000000000003,10847.0
1.5,10653.0
1.45,10773.0
2.0000000000000004,10429.0
1.6,10327.0
1.8500000000000003,10237.0
1.8000000000000003,10000.0
1.7000000000000002,11703.0
1.45,12311.0
1.9500000000000004,10102.0
1.8500000000000003,11591.0
1.55,11835.0
2.0000000000000004,10427.0
1.8000000000000003,11166.0
1.8000000000000003,12668.0
1.4,15233.0
1.6,11055.0
1.9000000000000004,10333.0
1.55,11108.0
1.5,10803.0
2.0000000000000004,10346.0
1.9000000000000004,10610.0
1.45,10271.0
1.4,12397.0
1.4,30531.0
1.6,10264.0
1.7000000000000002,10200.0
1.9500000000000004,10160.0
1.6,10201.0
1.6,10775.0
1.9000000000000004,10384.0
1.7000000000000002,10028.0
1.4,10063.0
1.5,13791.0
1.7000000000000002,10333.0
1.4,15304.0
1.9000000000000004,10395.0
1.8500000000000003,10316.0
1.4,14919.0
1.4,16314.0
1.8000000000000003,10142.0
1.55,11472.0
1.8000000000000003,10184.0
1.8500000000000003,10595.0
1.6,10849.0
1.5,14913.0
1.7500000000000002,10753.0
1.8000000000000003,11356.0
1.4,15411.0
1.7000000000000002,12566.0
1.4,20981.0
1.9000000000000004,10475.0
1.8000000000000003,10380.0
1.5,11271.0
1.8500000000000003,10239.0
1.7000000000000002,11573.0
1.9000000000000004,10689.0
1.8500000000000003,10125.0
1.7500000000000002,10301.0
1.7500000000000002,13330.0
2.0000000000000004,10349.0
1.8000000000000003,11904.0
1.5,14035.0
1.8500000000000003,10270.0
1.7000000000000002,12088.0
1.45,10910.0
1.7500000000000002,10083.0
2.0000000000000004,10078.0
1.8000000000000003,11056.0
1.6,13939.0
1.8500000000000003,11171.0
1.5,15934.0
1.9000000000000004,14290.0
1.55,10257.0
1.4,10710.0
1.9500000000000004,10483.0
1.9000000000000004,14308.0
1.9000000000000004,11126.0
1.6500000000000001,10547.0
1.8500000000000003,10148.0
1.7500000000000002,11268.0
1.6500000000000001,10480.0
1.6500000000000001,11008.0
1.7000000000000002,13396.0
1.5,10628.0
1.5,10642.0
1.9000000000000004,10240.0
1.5,11098.0
1.6500000000000001,10386.0
1.8500000000000003,10194.0
1.45,12507.0
1.9500000000000004,10551.0
1.6,12467.0
1.9000000000000004,10124.0
1.7000000000000002,10230.0
2.0000000000000004,10126.0
1.9500000000000004,10537.0
1.6,10303.0
